"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
21 0.00786 0.000265 0.000519 0.000294 0.000573 0.000398 0.000648 0.000648 0.000574 0.000306 0.000276 0.000581 0.000525 0.00036 0.00117 0.0003 0.00085 0.0003653 0.0011614 0.000252 0.0007069 0.00214 0.00251 0.00183 0.001715 0.00169 0.001845 0.00183 0.00076 0.00087 0.00191 0.001347 0.000275 0.000522 0.000201 0.000223 0.000435 0.000392 0.000286 0.00053 0.000336 0.001509 0.001295 0.000342 0.00901 0.001657 0.00163 0.001588 0.001541 0.000636 0.000192 0.000357 0.002953 0.001939 0.001693 0.001385 0.001167 0.001267 0.000308 0.00057 0.00149
22 0.00791 0.000281 0.000542 0.000312 0.000599 0.000421 0.000674 0.000674 0.000597 0.000325 0.000293 0.000605 0.000546 0.00036 0.00122 0.00029 0.00089 0.0003893 0.0011614 0.0002726 0.0007623 0.00218 0.00259 0.00186 0.001765 0.00174 0.001875 0.00186 0.0008 0.00089 0.00189 0.001358 0.000292 0.000544 0.000212 0.000236 0.000453 0.000408 0.000289 0.000556 0.000361 0.001464 0.001296 0.000366 0.00907 0.001756 0.001727 0.001682 0.001631 0.000661 0.000194 0.000366 0.003027 0.001946 0.001758 0.001351 0.001149 0.001219 0.000311 0.000598 0.00152
23 0.00796 0.000298 0.000566 0.00033 0.000627 0.000446 0.000702 0.000702 0.000622 0.000345 0.000311 0.000632 0.00057 0.00035 0.00125 0.00029 0.00092 0.0004 0.0011071 0.000287 0.0007817 0.00221 0.00268 0.00189 0.00181 0.00179 0.0019 0.00189 0.00084 0.00091 0.00186 0.00136 0.000309 0.000566 0.000225 0.00025 0.000471 0.000424 0.000292 0.000589 0.000391 0.001424 0.001297 0.000395 0.00915 0.001817 0.001786 0.001738 0.001685 0.000688 0.000197 0.000373 0.003108 0.001946 0.001831 0.001311 0.001129 0.001167 0.000313 0.000633 0.00154
24 0.00801 0.000314 0.000592 0.000349 0.000657 0.000473 0.000733 0.000733 0.000649 0.000366 0.00033 0.000661 0.000596 0.00035 0.00127 0.00029 0.00093 0.000398 0.001076 0.0002872 0.0007731 0.00224 0.00277 0.00191 0.001845 0.00183 0.00192 0.00191 0.00087 0.00092 0.00182 0.001371 0.000327 0.000591 0.000239 0.000265 0.000493 0.000444 0.000291 0.000624 0.000421 0.001388 0.001298 0.000425 0.00921 0.001852 0.001818 0.001767 0.001712 0.000718 0.000201 0.000376 0.003198 0.001949 0.001911 0.001267 0.001107 0.001149 0.000313 0.000671 0.00157
25 0.00806 0.000331 0.000616 0.000367 0.000686 0.000501 0.000768 0.000768 0.000679 0.000388 0.000349 0.000692 0.000622 0.00035 0.00127 0.00029 0.00093 0.0003921 0.0010557 0.0002883 0.0007544 0.00226 0.00288 0.00193 0.001875 0.00186 0.001945 0.00193 0.00089 0.00093 0.00177 0.001382 0.000347 0.000619 0.000253 0.000281 0.000515 0.000464 0.000291 0.000661 0.000451 0.001357 0.001299 0.000454 0.00929 0.001877 0.00184 0.001786 0.001729 0.000751 0.000207 0.000376 0.003297 0.001953 0.001999 0.001219 0.001083 0.001129 0.000313 0.000711 0.00159
26 0.00813 0.000347 0.000639 0.000385 0.000714 0.000531 0.000806 0.000806 0.000712 0.00041 0.000368 0.000724 0.00065 0.00036 0.00127 0.00029 0.00093 0.0003997 0.0010491 0.0002895 0.0007373 0.00228 0.00299 0.00196 0.0019 0.00189 0.001975 0.00196 0.00091 0.00095 0.00173 0.001402 0.000368 0.00065 0.000268 0.000298 0.000542 0.000488 0.000294 0.000696 0.000482 0.001333 0.0013 0.000484 0.00939 0.001907 0.001868 0.00181 0.001752 0.000787 0.000214 0.000378 0.003407 0.001972 0.002096 0.001167 0.001058 0.001107 0.000316 0.000749 0.00162
27 0.0082 0.000362 0.000659 0.000403 0.000738 0.000563 0.000849 0.000849 0.000749 0.000431 0.000387 0.000756 0.000677 0.00037 0.00126 0.0003 0.00092 0.0004128 0.0010373 0.0002978 0.0007298 0.0023 0.00311 0.00199 0.00192 0.00191 0.00201 0.00199 0.00092 0.00097 0.00171 0.001413 0.00039 0.000684 0.000284 0.000315 0.00057 0.000513 0.000302 0.000727 0.000513 0.001314 0.001301 0.000514 0.00948 0.001945 0.001914 0.001843 0.001783 0.000828 0.000223 0.000382 0.003527 0.001978 0.002204 0.001149 0.001083 0.001083 0.000324 0.000782 0.00166
28 0.00826 0.000376 0.000675 0.000419 0.000758 0.000598 0.000896 0.000896 0.000791 0.000452 0.000405 0.000788 0.000704 0.00039 0.00126 0.00032 0.00092 0.0004337 0.0010233 0.0003144 0.0007258 0.00233 0.00325 0.00203 0.001945 0.00193 0.002055 0.00203 0.00093 0.001 0.0017 0.001452 0.000414 0.000722 0.000302 0.000335 0.000602 0.000542 0.000314 0.000754 0.000545 0.001302 0.001303 0.000546 0.00958 0.001998 0.00196 0.001891 0.00183 0.000873 0.000235 0.000393 0.003661 0.002022 0.002322 0.001129 0.001111 0.001058 0.000338 0.000811 0.0017
29 0.00834 0.000389 0.000687 0.000435 0.000774 0.000636 0.000947 0.000947 0.000839 0.000473 0.000423 0.000819 0.000731 0.00041 0.00125 0.00033 0.00091 0.0004563 0.0010371 0.0003336 0.0007177 0.00236 0.0034 0.00208 0.001975 0.00196 0.002105 0.00208 0.00095 0.00104 0.00171 0.001472 0.00044 0.000763 0.00032 0.000356 0.000636 0.000572 0.000331 0.000779 0.000578 0.001297 0.001304 0.000578 0.00971 0.002065 0.002027 0.001953 0.00189 0.000922 0.000248 0.000412 0.003808 0.002041 0.002452 0.001107 0.001141 0.001083 0.000356 0.000838 0.00176
30 0.00843 0.000402 0.000694 0.00045 0.000784 0.000677 0.001004 0.001004 0.000893 0.000493 0.000441 0.00085 0.000759 0.00044 0.00126 0.00035 0.00092 0.0004818 0.0010541 0.000348 0.0007211 0.0024 0.00356 0.00213 0.00201 0.00199 0.00216 0.00213 0.00097 0.00108 0.00173 0.00152 0.000469 0.000809 0.000342 0.00038 0.000674 0.000607 0.000351 0.000801 0.000613 0.0013 0.001306 0.000612 0.00984 0.002139 0.002085 0.002021 0.001956 0.000976 0.000264 0.000444 0.003971 0.002099 0.002595 0.001083 0.001173 0.001111 0.000377 0.000862 0.00182
